# Station list for the Reciprocal database
# Sensor information is only kept from the inventory. For most
# stations all sensors are at the same location.
#
# Net.Sta,       Lat,       Lon,      Elev,       Bur, Sensor
  G.AIS  ,  -37.7963,   77.5692,   35.9000,    3.0000, STRECKEISEN STS2
  G.ATD  ,   11.5307,   42.8466,  610.0000,    0.0000, STRECKEISEN STS1 + METROZET E300 Electronics
  G.CAN  ,  -35.3187,  148.9963,  700.0000,    0.0000, STRECKEISEN STS1
  G.CCD  ,  -75.1065,  123.3050, 3240.0000,    0.0000, STRECKEISEN STS2
  G.CLF  ,   48.0258,    2.2600,  145.0000,    0.0000, STRECKEISEN STS2
  G.COYC ,  -45.5730,  -72.0814,  235.0000,    0.0000, STRECKEISEN STS2
  G.CRZF ,  -46.4300,   51.8610,  140.0000,    2.0000, STRECKEISEN STS1
  G.DRV  ,  -66.6649,  140.0021,   40.0000,    4.0000, STRECKEISEN STS1
  G.ECH  ,   48.2163,    7.1590,  580.0000,  250.0000, Streckeisen-STS1-H
  G.EDA  ,    3.7789,   10.1534,  140.0000,    0.0000, NANOMETRICS Trillium 120PH
  G.FDF  ,   14.7350,  -61.1463,  467.0000,    0.0000, STRECKEISEN STS2
  G.FDFM ,   14.7349,  -61.1597,  320.0000,    9.4000, NANOMETRICS Trillium 120PH
  G.FOMA ,  -24.9757,   46.9789,   28.0000,    0.0000, STRECKEISEN STS2
  G.FUTU ,  -14.3077, -178.1211,   97.0000,    0.0000, NANOMETRICS Trillium 240
  G.GRC  ,   47.2955,    3.0736,  191.0000,    0.0000, STRECKEISEN STS2
  G.HDC  ,   10.0021,  -84.1114, 1186.0000,    0.0000, STRECKEISEN STS2
  G.INU  ,   35.3500,  137.0290,  132.0000,    0.0000, STRECKEISEN STS1
  G.IVI  ,   61.2058,  -48.1712,   15.0000,    0.0000, STRECKEISEN STS1 + METROZET E300 Electronics
  G.KIP  ,   21.4200, -158.0112,   77.0000,   33.0000, Streckeisen STS-1VBB w/E300
  G.MBO  ,   14.3920,  -16.9555,    3.0000,    2.0000, STRECKEISEN STS2
  G.MPG  ,    5.1101,  -52.6445,  147.0000,    0.0000, STRECKEISEN STS2
  G.NOUC ,  -22.0986,  166.3066,  137.0000,    0.0000, STRECKEISEN STS1 + METROZET E300 Electronics
  G.PAF  ,  -49.3510,   70.2107,   17.0000,    0.0000, STRECKEISEN STS1
  G.PEL  ,  -33.1436,  -70.6749,  700.0000,    0.0000, STRECKEISEN STS1 + METROZET E300 Electronics
  G.PPTF ,  -17.5896, -149.5652,  705.0000,    0.0000, STRECKEISEN STS1 + METROZET E300 Electronics
  G.RER  ,  -21.1712,   55.7399,  834.0000,    0.0000, STRECKEISEN STS1
  G.ROCAM,  -19.7555,   63.3701,   52.0000,    0.0000, STRECKEISEN STS2
  G.RODM ,  -19.6962,   63.4413,  300.0000,    0.0000, STRECKEISEN STS2
  G.SANVU,  -15.4471,  167.2032,   56.0000,    0.0000, STRECKEISEN STS2
  G.SOK  ,   14.4944,  -16.4562,   70.9000,    4.2000, Streckeisen STS-6A VBB Seismometer
  G.SPB  ,  -23.5927,  -47.4270,  647.0000,    0.0000, STRECKEISEN STS1
  G.SSB  ,   45.2790,    4.5420,  700.0000,    0.0000, STRECKEISEN STS1
  G.TAM  ,   22.7915,    5.5284, 1410.0000,    0.0000, STRECKEISEN STS1
  G.TRIS ,  -37.0681,  -12.3152,   58.0000,    2.0000, Streckeisen STS-1V/VBB Seismometer
  G.UNM  ,   19.3297,  -99.1781, 2280.0000,    0.0000, STRECKEISEN STS1
  G.WUS  ,   41.2007,   79.2165, 1468.0000,   16.0000, STRECKEISEN STS1
  GE.KBS ,   78.9256,   11.9417,   77.0000,    0.0000, Streckeisen STS-1/VBB seismometer
  GE.KMBO,   -1.1268,   37.2523, 1940.0000,   20.0000, GFZ:GE1993:STS-1/VBB/g=2400
  GE.LVC ,  -22.6182,  -68.9113, 2915.0000,   30.0000, GFZ:GE1993:STS-1/VBB/g=2400
  GE.PMG ,   -9.4092,  147.1539,   67.0000,    3.0000, GFZ:GE1993:STS-1/VBB/g=2400
  GE.SFJ ,   66.9967,  -50.6156,  365.0000,    0.0000, Streckeisen STS-1/VBB seismometer
  GE.SFJD,   66.9960,  -50.6215,  330.0000,    0.0000, Streckeisen STS-1/VBB seismometer
